EVEN_ID	EVENT_NAME	CONTENT	EVENT_TYPE
Ye61b79	事主在隔壁,报昨天中午在该处吃饭,下午拉肚子,怀疑该处食品存在***卫生问题,求助处置。	事主在隔壁,报昨天中午在该处吃饭,下午拉肚子,怀疑该处食品存在***卫生问题,求助处置。	1
Y7c9866	事主报在该处超市内买到过期食品,**不承认,需要有关单位处理。	事主报在该处超市内买到过期食品,**不承认,需要有关单位处理。	1
Yd26f4f	咨询话务员的问题	其曾来电反映有关到**饭店用餐遇到的问题(登记号:20220614159718),其要投诉话务员未帮其解决问题,话务员告知挂机后会联系部门,反映人不接受。	1
Y159abb	咨询餐饮卫生问题	其要反映餐饮店卫生不过关的问题。综合坐席忙线无法转接。	1
Yed2225	卫生差,吃了拉肚子	今天和朋友来宝乐*唱歌,点了套餐结果喝了她们的果汁肚子立马痛了,杯具也卫生很差,希望卫生局重视过来查一下	1
Y827d9d	查询反映件处理情况	查询反映件处理情况(2022年4月15日 13:36,来电反映关于在**路166-4号**肝火锅店就餐遇到的问题)。	0
Yf45ebf	**所接群众***********报:14岁小孩吃了这家店的*堡,就拉肚子,医院说是吃的食物有问题,目前小孩的身体没什么问题。	**所接群众***********报:14岁小孩吃了这家店的*堡,就拉肚子,医院说是吃的食物有问题,目前小孩的身体没什么问题。	1
Y9f9970	咨询***可乐变质的问题	2022年7月24日,其孩子在**区*黎春天的***喝完可乐后,发现可乐已变质,可乐内均是黑色沉淀物,其已经向12315投诉,12315已受理,咨询如何处理。	1
Y912b53	私宰肉	**路****傍边工厂每天早上5点**1大车私宰肉在那被好几辆3轮车拉走	1
Yd4b086	来电补充有关*岛一心店面卫生状况不合格等问题(疫情)	2021年9月2日8:30来电反映有关*岛一心店面卫生状况不合格等问题(疫情),现来电补充:9月2日10:42,市场监管局**工作人员(电话:*******)再次联系其,表示商家愿意赔偿200元,但仍坚持没有任何问题,不承认自己的错误。其不解**没有问题为何愿意赔偿,其认为是心虚。其原本提出1000元的赔偿,现提出赔偿300元即可,**工作人员表示商家认为赔偿太多,只想赔偿100元,是他劝说商家才赔偿200元。其有证据足以证明商家餐品存在的问题,其有权要求赔偿,但**工作人员表示无法判断是**的责任,其认为**工作人员不作为,一直包庇商家。其不解**给了该工作人员多少好处。要求有关部门调查处理。11:01	1
Yb92471	事主购买的猪肚是臭的,也不让退。	事主购买的猪肚是臭的,也不让退。	1
Y9be015	美*和黑猫都包庇商家不处理	在美*外卖里吃出来断的牙签美*不处理打我***********处理	1
Yd74ec6	***酒屋问题反馈	2022年7月24日晚上,其到***酒屋(地址:**区**南路4号)消费,一共消费7483元。该店家给其推荐2瓶酒水,2瓶酒水来自*本核辐射地区,并且酒水没有中文标签。要求有关部门调查处理。	0
Y7c1a09	咨询在*****购买到发霉香肠的问题	咨询在*****购买到发霉香肠的问题。	1
Yb0a2ec	有***里33号-101销售过期**等问题	**区***道****下*里33号-101不定时将过期**重新包装进行出售,机器作业噪音扰民。要求有关部门调查处理以上问题。	1
Yb91b9e	**买菜,送来烂肉,投诉无人管!	2月11日晚上7点半,在**平台上叫了个牛肉,送来是黑的,酸臭的!建议**,说是只能退款和送20元抵用券。食品安全难道就这么不重要吗?人吃了不会有问题吗?太不负责了!严厉谴责!希望有关部门能监管!做出处罚!(家里)	1
Y6885ab	事主(食堂送餐员)报:昨天中午在食堂用餐导致半夜一直腹泻,据了解学校还有许多类似症状的学生,怀疑食物中毒,需相关部门调查处理。	事主(食堂送餐员)报:昨天中午在食堂用餐导致半夜一直腹泻,据了解学校还有许多类似症状的学生,怀疑食物中毒,需相关部门调查处理。	1
Y721541	欺骗消费者	"**点:欺骗消费者,所需物品不实,购买的是600的,出来是一瓶400ml的
**点:售卖过期产品,这个是2021年2月份的保质期才10个月都不知道过期多久了
希望尽快给予答复"	1
Yc4e5d9	有关*******有限公司不具备配送资质等问题	2022年5月11日,其通过本机号码向12315反映*******有限公司(地址:**区**镇**路120-107)没有配送资质,一直往大型工厂送餐。**区****监管所回复其,工作人员已到现场查看,但未制止该公司送餐行为。要求有关部门调查处理以上问题。	0
Yfc25aa	咨询购买到三无产品	其通过淘*在***原的店铺购买了真空包装的玉米十个。收到后其发现有一个玉米发霉,其向淘***反映,淘***帮其协商后让其将玉米邮寄给商家,让商家帮其处理。其发现其购买的玉米是三无产品,咨询如何处理。	1
Y81334a	小炒店卫生堪忧	在**区***英***英**礼拜堂后面的老街英**233号有人在这里办个小炒点再送到外面去卖!环境堪忧!卫生没有任何保证!应该也是没有健康证!(礼拜堂)	1
Yf7bfa3	事主报其亲****(女、26岁、住**国际3号楼2904)昨天晚上通过美*外卖在**商业广场******购买小龙虾吃,现食物中毒送至第**医院抢救。医生说小龙虾没有问题,可能是洗虾粉有工业原料造成中毒。	事主报其亲****(女、26岁、住**国际3号楼2904)昨天晚上通过美*外卖在**商业广场******购买小龙虾吃,现食物中毒送至第**医院抢救。医生说小龙虾没有问题,可能是洗虾粉有工业原料造成中毒。	1
Yc070b2	要求12315尽快予以回复	2021年6月下旬,其曾使用本机号码向12315反映生煎**的食物有头发和烟头,至今未得到回复。2021年7月8日下午2点,其再次使用本机号码向12315咨询办理进度,电话提示无人接听。要求12315尽快予以回复。	1
Yf6f9ea	有关“****妞**店”产品没有生产日期等问题	其女朋友在**区***路102-10号“****妞**店”上班。该店后厨存在卫生问题,产品只有保质期没有生产日期。要求有关部门调查处理。	1
Y80091f	学生午餐肉有味道	新*中心**14号学生午餐肉有臭味	1
Y80d2cf	事主买的是活虾,店家用死虾给他。 再报双方协商处理。	事主买的是活虾,店家用死虾给他。 再报双方协商处理。	0
Yce4f94	咨询***酸奶是否过期的问题	其2022年4月6日购买***酸奶,2021年10月8日生产日期,保质期6个月,咨询是否过期。	1
Ybcd4e9	有***总汇自助餐厅用餐后出现腹泻的问题	2022年5月22日晚上,其在**区****路****自助餐厅用餐,餐后出现腹泻的情况。后续其到**区******第**医院就诊,医生表示疑似食物中毒。要求有关部门尽快调查处理。	1
Yc3bfa1	没有营业执照,没有食品经营许可证	没有营业执照,没有食品经营许可证,使用不可食用金箔,**。建议早上9-14,下午2-4:30过去检查。(****里12号703)	0
Yc7765d	要求撤销反映件	1、2021年12月10日来电反映:2021年12月10日14:30左右,其在**区**机场**********购买了一杯咖啡后,在咖啡内发现两只虫子。要求有关部门调查处理并给予联系答复。2、2021年12月16日再次来电反映:现要求撤销反映件。	1
Y7d83f8	非法贩卖狗肉	**区**镇***,新亭社81-1-101兴胜农家宴,非法售卖狗肉,没有任何合法的检疫,无证销售狗肉	0
Y8967b4	*****发榴莲生蛆拒绝赔偿退款	六月一日在**广场负一楼*发超市购买了**榴莲于六月2日打开发现其中一块长蛆并且吃了两口未长蛆榴莲商场拒绝道歉拒绝补偿,请相关部门严查*发品质并作出处罚和对顾客的赔偿和退款	1
Yf5015a	饿了***不管事外卖吃出来头发不赔付实在	外卖有头发**不处理**也不管实在恶心。而且**直接甩锅责任说这是**的事,跟我们没关系,你做平台的哪有这样子做事儿的,收钱知道收出了事儿不知道负责	1
Yd65f27	咨询海鲜养殖户使用违禁品饲养海鲜的问题	**区海鲜养殖户使用违禁品饲养海鲜。通话过程*,反映人表示要自行向相关部门反映。	0
Yf4aecd	卖肉的拉下口罩一边抹鼻涕一边称肉	和祥西路609号*****卖肉的拉下口罩一边抹鼻涕一边称肉(和祥西路609号*****)	1
Yd24cc7	外卖吃到虫子	外卖吃饭虫子外卖店名:*****(官方直营**店)	1
Ye30a1d	事主不在场报9月4日在该处用餐后,和其一名朋友出现食物中毒的情况,当时有相关部门介入调查,现报警人有情况想要向当时处置部门反映,但报警人没有处置单位的联系方式。	事主不在场报9月4日在该处用餐后,和其一名朋友出现食物中毒的情况,当时有相关部门介入调查,现报警人有情况想要向当时处置部门反映,但报警人没有处置单位的联系方式。	1
Ycfbc43	退款 道歉	食用他家的速冻牛排后 两人一直在拉肚子 不舒服 之**家态度不好 问东问西没有给出解决方案	1
Yb90b09	有关*********有限公司虚假宣传等问题	2021年8月8日,其购买*********有限公司(地址:**区***路570号)的每姿胶原蛋白,支付了6***。该产品的质量有问题,商家*传该产品具有美白嫩肤等功效,但实际上并没有这些效果,商家存在虚假宣传的问题。另外,其怀疑该产品是贴牌假冒的产品。要求有关部门调查处理。	1
Y5defa1	查询反映件处理情况	查询反映件处理情况(登记号:202****2052022年4月11日来电反映有关**路54-5卤料店卫生存在的问题)。	1
Y6d381d	咨询在超市购买的**是过期产品的问题	其在**区*******超市购买**,吃完发现是过期产品。12315热线下班,无法及时处理。咨询如何保留证据,其要马上处理。	1
Ycb334d	关于投诉**监管部门工作方式简单粗暴的问题	2022年1月,其在**切货店(地址:**区*****酒店后方)购买到了一款红酒,其和朋友饮用时一致认为该红酒为假酒,便拨打12315进行投诉。但负责处理该投诉的****监管人员只是到该店简单查看了一下红酒的进货单据,就反馈其称(反馈人员工号:闽D***79)不能单纯从感官上认定店家销售的是假酒,但其认为**监管人员应当对酒水采样化验确定真假,但工作人员坚持称只要查看单据就能确定,无需采样要化验。其要投诉12315工作方式简单粗暴。要求有关部门调查处理,同时对该店销售的红酒酒水采样化验并对结果进行信息公开。	0
Y652b49	查询反映件处理情况	查询反映件处理情况(登记号:******************年4月11日来电反映有关**路54-5卤料店卫生存在的问题)。	1
Yddb893	报警人称在***学对面一家糕点制作坊购买绿豆糕,食用以后感觉...	报警人称在***学对面一家糕点制作坊购买绿豆糕,食用以后感觉头晕(无需120),怀疑系糕点香精放太多导致的。	1
Y685602	买**劳早餐出现头发	早上到**北路9号*****购买早餐,打开*堡出现鸡肉和沙拉夹着头发,请有关部门处理	1
Yff6c73	事主报地摊上吃炒面,面里有蟑螂。 催促到场。	事主报地摊上吃炒面,面里有蟑螂。 催促到场。	1
Yd7226e	有**收到奶粉真伪答复的问题	1、2021年5月24日来电反映:2021年年初,其在**区**镇***路195号的**楼超市购买了奶粉。其小孩吃完奶粉以后以后,发生了便秘。其带小孩到医院做检查后,医生告诉其小孩子消化不良,可能与吃奶粉有关。其之后有工商部门反映过该问题,工商部门的工作人员也有到店铺进行调查,并对店铺要求整改,也把奶粉上报进行鉴定,但至今也没有告诉其该奶粉是否是正规的奶粉。要求有关部门调查处理。2、2021年6月20日再次拉点反映:问题未得到解决。其一直未收到关于奶粉真伪的答复。要求有关部门调查处理给予答复。	1
Y98ac12	翔***公司食堂	这吃啥啊,希望有政府帮忙处理	0
Ydfa05a	有关**国际****早餐不新鲜的问题(疫情)	其是**区**国际****隔离人员。2022年8月10日早上,驿站提供给隔离人员的蒸地瓜不新鲜,有些地瓜已经发臭。要求有关部门调查处理。	1
Y7bf000	有关在**亲子游平台购买的月饼发霉的问题	2020年8月份,其在**亲子游平台下单购买月饼,9月份其收到发现月饼存在发霉。其向**亲子游客服反映后,**并未同意其要求商家赔偿的诉求,并且其在**亲子游微信公众号上发布的差评信息也未同步到微信公众号上。其拨打12315反映后,市场监管部门表示该公司拒绝进行调解,公司也辩称自己不存在过错。要求**亲子游公司进行赔偿。	1
Yd8afcf	事主在场称买到过期食品,现在到该处退换,商家拿走商品后就不理会其,求助工商维权。	事主在场称买到过期食品,现在到该处退换,商家拿走商品后就不理会其,求助工商维权。	1
Y728487	未在场报,昨天在该处超市购买了6根米蕉,食用后其拉肚子不适,其10个月小孩呕吐腹痛等,现在**医院办理住院,并灌肠;具体检测结果未出来。怀疑食用的**是化学品催熟导致的。	未在场报,昨天在该处超市购买了6根米蕉,食用后其拉肚子不适,其10个月小孩呕吐腹痛等,现在**医院办理住院,并灌肠;具体检测结果未出来。怀疑食用的**是化学品催熟导致的。	1
Yee9456	在******有网购的面包在保质期内发霉	在******有限公司网购的其妙肉松面包出现明显发霉现象,距离过期还有一个月。与**沟通后,**承认在商品充气时未处理好,导致商品发霉,只愿意做退款处理,在我提及赔偿的时候装傻充愣,迟迟不给出解决措施。	1
Y79f6f8	此家店无证贩卖狗肉	此店在******旁,贩卖狗肉食品,此食品为没有检疫证明和任何合法的途径售卖	0
Y573c23	关于****咨询	关于**市**要求咨询,请问**饮品店是否可以使用非一次性的可回收塑料杯?	0
Y758404	有关餐饮店卫生环境不合格的问题	**区***社150号好友客家小炒店,卫生环境不合格,**都是苍蝇。要求有关部门调查处理。	1
Yf9faff	关于育才中学饮水机存在的问题	**区育才中学提供给学生的饮水机异味非常严重,且**有杂质。要求有关部门调查处理。	1
Yca90a6	关于*******,*堡里吃到虫子问题反馈	在**区,*******,*堡里吃到虫子,商家不予理会(捷特姆购物广场)	1
Y77b19d	有关在广物超市购买到有两个生产日期的罐头的问题	1、2020年12月29日来电反映:2020年12月23日,其在**区****社23号广物超市内购买8罐振鹏达糖水**罐头,248克/罐,单价5.5元/罐。目前,其发现该产品的生产日期有两个,比如其中一罐原来写的生产日期是2018年5月,后被改成2019年4月23日,而有的的生产日期是2019年,后被改成2020年1月1日。其认为不合理,要求相关部门调查处理让**给其进行赔偿,并对超市进行处罚,且同时追究经销商的责任。2、12月29日再次来电反映:12月29日上午8点半左右,******监督管理所工作人员告知其无法对商家进行处罚,原因是**已经没有销售罐头,对此其表示理解接受。要求相关部门调查处理,让**给其进行赔偿,并对超市进行处罚。	0
Yd9ef6b	有关人员偷加工生产地沟油的问题	每天,**区**街道**路797号****商务大厦后面空地棚子内,有人员偷加工生产地沟油。要求相关部门调查处理。	1
Ya6d454	食品不卫生	**街道**工业区***10号*县小吃(**北路10号)	1
Yf33dc0	举报该处每天早上5点一辆闽D***3E小车运送、私宰病猪肉。	举报该处每天早上5点一辆闽D***3E小车运送、私宰病猪肉。请及时进行处置,并反馈处理情况。	1
Y6ba1fa	********央厨菜品茶,卫生不过关	央厨做饭,经常有虫子,今天还有创可贴掉在菜里,希望有关部门整改,给医护工作人员一个良好的用餐体验	1
Yd6b07e	八楽茶饮喝出钢丝球	在************点了一杯奶茶,再珍珠上面喝出来了钢丝球要求************退钱,赔付按*消法食品出现异物赔付,要求**监督管理局进行检查	1
Ydd0edb	要求赔偿	我和我的朋友三个人在3月9日晚上在*******餐饮店吃了晚饭,当晚和今天我和我的朋友都出现了拉肚子的情况,我们怀疑该餐饮店用的*海鲜导致了此情况,希望**餐饮部门调查给游客一个公正的结果谢谢javascript:void(0)	1
Yb66062	咨询吃完商家销售的面包呕吐发烧的问题	其在一个平台向商家购买了一个面包,其与小孩吃完面包后,其小孩呕吐发烧,其拉肚子,咨询应如何处理。	1
Yc3545f	要求盒马鲜生生态科技(**)有限公司全额退款的问题	2022年8月初,其通过盒马鲜生App(盒马鲜生生态科技(**)有限公司,地址:**区***路464号201单元)购买**,一共花费154元(订单号:******************7)其收到货品发现牛肉变质,随后其通过App申请退款,至今公司没有派人员过来家里取牛肉,并且App也没有退款,对此其无法接受。要求有关部门调查处理,让公司尽快全额退款。	1
Ycf1667	咨询餐饮店的留样要送去哪里检测的问题	其在**区。咨询餐饮店的留样要送去哪里检测。	0
Y7580d5	**农*市场私宰肉泛滥。	我去****买肉。看到多家摊位猪肉没有盖章。我都不敢买。希望有关部门调查	1
Ya8dae4	要求调查**市*******有限公司海参肽产品的问题	其在*南,近期其有跟**市*******有限公司(地址:**区****96号2号厂房3**1)合作购买了5***的**肽(饮料类)保健品,其有查询过,发现该公司在之前有被**区市场部门处罚过,处罚的理由是发现生产的物品里存在超范围、超限量使用添加剂的情况。其希望相关部门能再去核实目前该公司生产的海参肽产品是否有超范围、超限量使用添加剂,要求有关部门调查处理。	1
Ybd62d1	建议到各大超市对黑米采样	其是一名糖尿病患者。现在国家重视食品安全,有些主任医师在电视频道内的健康讲座*讲到黑米剪开只要发现内部是白的,都是黑药水泡的。因为黑米治疗补肾 ,其到超市购买黑米,剪开黑米后发现黑米内部都是白色的,且黑米泡水会变色。建议政府部门到各大超市对黑米采样,若黑米剪开白色,则存在质量安全问题。	1
Y981144	有关哈乐KTV杯子很脏的问题	2019年11月24日,其在**区***路366号哈乐KTV喝酒,该KTV提供的杯子(外面有塑料包装,一套杯子有12个)很脏,上面还有口红印,杯子内还有蟑螂脚。希望商家今后能注意卫生问题。	1
Ycd0bd4	咨询购买到过期鸡架的问题	2022年6月28日,其在**区**前*购买到过期的鸡架,要求商家退款。	1
Yda9384	有关在美**超市够买到过期咖啡要求赔偿的问题	1、2021年5月20日来电反映:2021年5月20日早上,其在美*平台***佳超市(地址:**区***道*******里158号之二,商家电话:***********)购买了一瓶罐装咖啡,支付4.9元。收到后发现已经过期一个月,其联系商家要求赔偿1000元,但商家只同意赔偿100元,其不接受,要求有关部门调查处理。2、2021年6月1日再次来电反映:地址有误,***超市地址在**区***道*厝*****里158号之二。另外,其午间不方便接听电话, 希望部门在下午16:00之后再拨打其的电话。要求有关部门调查处理。	1
Yf5c405	有关食用******牛排后细菌感染等问题(疫情)	2021年7月12日下午,其妻子在**区****对面******食用牛排后身体不适,到**医院门诊就诊,结果是细菌感染食物中毒。门诊医生表示,近期有很多人因食用该家牛排导致细菌感染过来打点滴,其认为相关部门应该重视处理该公共安全卫生问题。其多次拨打**区疾控中心电话:******* 、*******想反馈该情况,但都无法接通。现疫情期间,市民反映情况都没有通道。要求有关部门调查处理以上问题。	1
Y003481	请**官方展开卫生调查	如**市场监管局,**市场监管局一样开展公众号,视频号,对餐饮卫生进行严打严查	0
Y8907c5	咨询办理食品经营许可证的问题	咨询办理食品经营许可证的问题。	0
Y7369b4	关于*****售卖的儿童海苔存在发霉的问题	1、2021年7月23日来电反映:2021年7月23日20:36,其在**区汇景广场*****购买儿童海苔。其小孩拆开服用后发现海苔有发霉现象。其要投诉该店售卖的商品存在发霉的问题。要求相关部门核实处理。2、7月24日再次来电反映:其在拆开商品后半小时就到超市售后服务台反映该问题,店铺工作人员拒绝售后。警察到场协调后,店铺工作人员先是答应会陪其带孩子到医院就医,而后又反悔。要求有关部门调查处理。	1
Y828930	**科技事件	**科技饭菜不新鲜吃了拉肚子反应多次没人管,还有**科技合作机构中介收取求职者费用比如宿舍管理费收了不退还已经像**反应了都不管	1
Y7d926f	二次来电补充有关认为早餐店卫生不合格的问题	2021年11月6日11:13来电反映有关认为早餐店卫生不合格的问题(登记号:20211106180874)。现来电补充:商家名:***,其本人叫***。	1
Y966121	有关举报豆腐加工厂环境脏乱差等问题	**区**镇****厝里358号有两家非法豆腐加工厂,工厂环境脏乱差,这两处豆腐加工厂已经被**监督管理局查处,但豆腐加工厂的负责人将**监督管理局的封条撕掉继续进行生产。要求有关部门调查处理。	1
Y7e0cf8	**(**)实业有限公司四号厂员工吃出蛇,青蛙苍蝇	2020年7月8日上午11点半左右**(**)实业有限公司员工吃出蛇,隔天吃出青蛙,有同事吃出苍蝇,搞得人心惶惶,望有关部门清查整治一下。米饭有时没熟夹生有时软得就跟一摊烂泥,菜颜色不行味道怪怪的也就算了,卫生还不达标。这次事情发生了也没人出来贴公告道歉,或者通报全厂引以为戒	1
Yc42b7e	查询反映件处理情况	查询反映件处理情况(登记号:20***92022年3月1日来电反映有关奶茶存在食品安全隐患的问题)。	1
Ya6e7ae	有关购买和成天下**出现腹泻的问题	2022年5月25日11:00,其在**区*****里67-101宏**批发店购买两**成天下**(30元/包),其和朋友吃完出现腹泻就医。查看**包装袋生产日期为2022年3月1日,保质期60天。商家只愿意退还60元,对此不接受。要求有关部门调查处理。	1
Y0ad6c9	查询反映件处理情况	查询反映件处理情况(登记号:******************年10月26日来电反映关于购买到不熟鸭头的问题。)	1
Y7745e9	要求撤销反映件	1、2022年6月17日来电反映:2022年6月6日,其通过**平台在***东自营旗舰店(公司名称:********有限公司,地址:**区**镇**路888号之一)购买**未来星儿***牛奶。近日,孩子喝了2口发现牛奶变质,又酸又臭。其联系*东**,*东**表示可以给其退款,其对**的处理方式无法接受。其前后购买了4箱,根本不知道孩子喝的这些牛奶是否来自**,已经喝进去了应该怎么办。要求有关部门调查处理,让商家给予合理的解释。2、2022年6月20日再次来电反映:**已认识到错误,妥善解决了该问题。要求撤销反映件。	1
Y896514	咨询保健食品备案的问题	咨询保健食品备案的问题。	0
Y786016	投诉*东上面买的罐头 罐头盖内圈生锈	*东上面买的罐头 罐头盖内圈生锈打了12315**的到现在还还没有给我回复。快一个月了	1
Ya92dc1	有关村民违规加工生产地沟油散发臭味扰民的问题	近期,**区**镇*******102号旁边铁硼内村民每天违规加工生产地沟油,散发臭味扰民。要求相关部门调查处理。	1
Y78e59a	我要举报******水煮肉片**店卫生差	这家店卫生太差了,米饭里面有虫子,希望有关部门整改这家店,这家店地址在我发的图片上,希望你们把处理结果写在微信上	1
Yd868da	关于*****购买到有虫子的食物引发的问题	1、2020年4月2日来电反映:2月29日,其在*****(*********有限公司(地址:***********片区**2组***1218号2楼)秒杀****小腿(订单号:Q******************950),支付0.01元。之前,其吃的时候有发现该小腿双面*有虫子。3月27日,其拨打12315进行反映,但是工作人员只给其经销商及厂家的电话。让其自行联系协商。其认为职能部门不作为,应该进行协调及与其联系把其的证据(发现虫子的小腿)带回去检验。其表示都是自行联系**监督监理局,但是**监督管理局工作人员未主动与其联系及告知办理情况。其联系经销商,被告知小腿上的不是虫子,只是中药材。其联系厂家,把图片给厂家,被告知照片看不清楚,可能是漏气导致的,厂家不承认是虫子,并答应赔偿500元。其认为不合理,厂家既然不承认,为何还要赔偿,其要求厂家承认是虫子,并按消费者保护法赔偿1000元。其认为**监督管理局有包庇的责任。才不与其联系。其要求**监督管理局连续其,告知办理进度及要求厂家赔偿。2、4月3日再次来电反映:其拨打1231512315提示12331已并入12315。其拨打12331,提示是空号。既然12331已并入12315,为**拨打12331无法直接转接到12315。其想知道是否所有并入12315的热线都是空号。其想知道周六、周日能否打通12315的电话,12315是否是24小时都有人接听。其次,根据《食品安全法》规定,食品药品监管局应公布本部门的电子邮箱地址或电话,但食品药品监管局没有**,其无法将照片等证据提供,且食品药品监管局也没有上门进行取证。要求提供市**监督管理局领导或负责人的电话给其,其要直接****监督管理局领导或负责人投诉。如果其要到市市场监管局或**区市市场监管局进行现场投诉,应提供市市场监管局、**区市市场监管局的地址给其。最后,其向12315投诉,12315的话务员告诉其,经办人员是***,***曾联系其,表示经销商会联系其,让其提供图片。接着,经办人员再次联系其,并提供厂家的电话给其,之后就再也没有联系过其。其想知道此事除了经办人员,是否还有督办人员。其已通过政务热线和12315进行投诉,但至今都没有得到回复,此事到底处理到哪一步了,部门是如何解决的,应该要告诉其。根据《食品安全法》规定应保存证据不能销毁,其将证据放在冰箱,市场监管局拖了一*时间还未将证据拿走。其每天都在等电话,但没有人联系其,怀疑市市场监管局的经办人员与厂家勾结,存在不作为。要求有关部门调查处理以上问题。	1
Ydc5ae5	有关投诉**监督管理局等问题	1、2022年6月22日来电反映:其向********有限公司(地址:**区****高***区)购买三罐八宝粥,一共12元。食用过程发现八宝粥有头发,证明公司存在食品安全问题,要求有关部门调查处理,按照《消法》让商家赔偿300元。2、2022年6月23日再次来电反映:6月23日,辖区**监管局(电话:*******)一名女性工作人员联系其,表示商家答应赔款,让其等待,但未给出等待时限,其表示无法等待,要求6月23日就要支付赔款,辖区**监管局工作人员就表示如果其不愿意等待就不处理了,其要投诉辖区**监管局偏袒厂家,让辖区**监管局工作人员尽快向其赔礼道歉。要求有关部门调查处理,并尽快给予其电话答复。3、2022年6月27日再次来电反映:2022年6月27日下午4点多,辖区**监管局(电话:*******)工作人员又给其回电,称厂家是干净的,无法处理。其要投诉辖区**监管局。要求有关部门调查处理。4、2022年7月14日再次来电反映:其对部门答复不满意,要继续投诉**监管局和厂家,且其认为**监管局有收受商家好处(其表示有证据),要求更换其他**监管局处理,且必须给其一个满意的结果。要求有关部门调查处理,并尽快给予其电话答复。5、2022年7月15日再次来电反映:2022年7月15日08:28之前,市**监督管理局给其打电话(号码:*******),表示该问题处理不了。其认为市**监督管理局有收受商家好处。其要投诉市**监督管理局。并要求市**监督管理局要帮助处理该问题。要求有关部门调查处理。	1
Ycae4b0	鹭来香烤鸭食品卫生不合格	购买的食品*带有手指长的鸭毛,不符合食品安全的规定,对消费者造成了损失,要求赔偿和道歉,按照食品安全法148条来赔偿	1
